# Energy(GeV) Height(cm) Zenith(deg) Weights
3.548134e+06 6.744419e+06 85.000000 1.494543e-12
4.466836e+06 6.744419e+06 85.000000 8.595763e-13
5.623413e+06 6.744419e+06 85.000000 4.818468e-13
7.079458e+06 6.744419e+06 85.000000 2.612898e-13
8.912509e+06 6.744419e+06 85.000000 1.362153e-13
1.122018e+03 6.074826e+06 85.000000 6.347404e-05
1.412538e+03 6.074826e+06 85.000000 4.316933e-05
1.778279e+03 6.074826e+06 85.000000 2.901592e-05
2.238721e+03 6.074826e+06 85.000000 1.928916e-05
2.818383e+03 6.074826e+06 85.000000 1.269514e-05
3.548134e+03 6.074826e+06 85.000000 8.276786e-06
4.466836e+03 6.074826e+06 85.000000 5.349078e-06
5.623413e+03 6.074826e+06 85.000000 3.429643e-06
7.079458e+03 6.074826e+06 85.000000 2.183789e-06
8.912509e+03 6.074826e+06 85.000000 1.381428e-06
1.122018e+04 6.074826e+06 85.000000 8.685343e-07
1.412538e+04 6.074826e+06 85.000000 5.430162e-07
1.778279e+04 6.074826e+06 85.000000 3.377157e-07
2.238721e+04 6.074826e+06 85.000000 2.090571e-07
2.818383e+04 6.074826e+06 85.000000 1.288411e-07
3.548134e+04 6.074826e+06 85.000000 7.908340e-08
4.466836e+04 6.074826e+06 85.000000 4.837987e-08
5.623413e+04 6.074826e+06 85.000000 2.951169e-08
7.079458e+04 6.074826e+06 85.000000 1.795577e-08
8.912509e+04 6.074826e+06 85.000000 1.090502e-08
1.122018e+05 6.074826e+06 85.000000 6.613011e-09
1.412538e+05 6.074826e+06 85.000000 4.006627e-09
1.778279e+05 6.074826e+06 85.000000 2.426936e-09
2.238721e+05 6.074826e+06 85.000000 1.470446e-09
2.818383e+05 6.074826e+06 85.000000 8.917830e-10
3.548134e+05 6.074826e+06 85.000000 5.412718e-10
4.466836e+05 6.074826e+06 85.000000 3.292677e-10
5.623413e+05 6.074826e+06 85.000000 2.006985e-10
7.079458e+05 6.074826e+06 85.000000 1.225087e-10
8.912509e+05 6.074826e+06 85.000000 7.483019e-11
1.122018e+06 6.074826e+06 85.000000 4.567259e-11
1.412538e+06 6.074826e+06 85.000000 2.784577e-11
1.778279e+06 6.074826e+06 85.000000 1.687432e-11
2.238721e+06 6.074826e+06 85.000000 1.014812e-11
2.818383e+06 6.074826e+06 85.000000 6.029742e-12
3.548134e+06 6.074826e+06 85.000000 3.527492e-12
4.466836e+06 6.074826e+06 85.000000 2.025488e-12
5.623413e+06 6.074826e+06 85.000000 1.133835e-12
7.079458e+06 6.074826e+06 85.000000 6.141442e-13
8.912509e+06 6.074826e+06 85.000000 3.198783e-13
1.122018e+03 5.430116e+06 85.000000 1.836071e-04
1.412538e+03 5.430116e+06 85.000000 1.229214e-04
1.778279e+03 5.430116e+06 85.000000 8.142455e-05
2.238721e+03 5.430116e+06 85.000000 5.340349e-05
2.818383e+03 5.430116e+06 85.000000 3.470879e-05
3.548134e+03 5.430116e+06 85.000000 2.236624e-05
4.466836e+03 5.430116e+06 85.000000 1.429836e-05
5.623413e+03 5.430116e+06 85.000000 9.074811e-06
7.079458e+03 5.430116e+06 85.000000 5.723173e-06
8.912509e+03 5.430116e+06 85.000000 3.587841e-06
1.122018e+04 5.430116e+06 85.000000 2.236611e-06
1.412538e+04 5.430116e+06 85.000000 1.387143e-06
1.778279e+04 5.430116e+06 85.000000 8.561692e-07
2.238721e+04 5.430116e+06 85.000000 5.261913e-07
2.818383e+04 5.430116e+06 85.000000 3.220783e-07
3.548134e+04 5.430116e+06 85.000000 1.964124e-07
4.466836e+04 5.430116e+06 85.000000 1.194124e-07
5.623413e+04 5.430116e+06 85.000000 7.240847e-08
7.079458e+04 5.430116e+06 85.000000 4.380390e-08
8.912509e+04 5.430116e+06 85.000000 2.645624e-08
1.122018e+05 5.430116e+06 85.000000 1.595747e-08
1.412538e+05 5.430116e+06 85.000000 9.617515e-09
1.778279e+05 5.430116e+06 85.000000 5.795659e-09
2.238721e+05 5.430116e+06 85.000000 3.493690e-09
2.818383e+05 5.430116e+06 85.000000 2.108135e-09
3.548134e+05 5.430116e+06 85.000000 1.273192e-09
4.466836e+05 5.430116e+06 85.000000 7.706785e-10
5.623413e+05 5.430116e+06 85.000000 4.674633e-10
7.079458e+05 5.430116e+06 85.000000 2.839797e-10
8.912509e+05 5.430116e+06 85.000000 1.726502e-10
1.122018e+06 5.430116e+06 85.000000 1.049046e-10
1.412538e+06 5.430116e+06 85.000000 6.368335e-11
1.778279e+06 5.430116e+06 85.000000 3.843760e-11
2.238721e+06 5.430116e+06 85.000000 2.303102e-11
2.818383e+06 5.430116e+06 85.000000 1.363883e-11
3.548134e+06 5.430116e+06 85.000000 7.955221e-12
4.466836e+06 5.430116e+06 85.000000 4.555760e-12
5.623413e+06 5.430116e+06 85.000000 2.544340e-12
7.079458e+06 5.430116e+06 85.000000 1.375442e-12
8.912509e+06 5.430116e+06 85.000000 7.152352e-13
1.122018e+03 4.810363e+06 85.000000 5.987149e-04
1.412538e+03 4.810363e+06 85.000000 3.916370e-04
1.778279e+03 4.810363e+06 85.000000 2.537507e-04
2.238721e+03 4.810363e+06 85.000000 1.629616e-04
2.818383e+03 4.810363e+06 85.000000 1.038108e-04
3.548134e+03 4.810363e+06 85.000000 6.563049e-05
4.466836e+03 4.810363e+06 85.000000 4.120085e-05
5.623413e+03 4.810363e+06 85.000000 2.569956e-05
7.079458e+03 4.810363e+06 85.000000 1.594040e-05
8.912509e+03 4.810363e+06 85.000000 9.834940e-06
1.122018e+04 4.810363e+06 85.000000 6.037935e-06
1.412538e+04 4.810363e+06 85.000000 3.690269e-06
1.778279e+04 4.810363e+06 85.000000 2.246019e-06
2.238721e+04 4.810363e+06 85.000000 1.361960e-06
2.818383e+04 4.810363e+06 85.000000 8.229799e-07
3.548134e+04 4.810363e+06 85.000000 4.957254e-07
4.466836e+04 4.810363e+06 85.000000 2.978335e-07
5.623413e+04 4.810363e+06 85.000000 1.785494e-07
7.079458e+04 4.810363e+06 85.000000 1.068364e-07
8.912509e+04 4.810363e+06 85.000000 6.384585e-08
1.122018e+05 4.810363e+06 85.000000 3.811723e-08
1.412538e+05 4.810363e+06 85.000000 2.274643e-08
1.778279e+05 4.810363e+06 85.000000 1.357593e-08
2.238721e+05 4.810363e+06 85.000000 8.107292e-09
2.818383e+05 4.810363e+06 85.000000 4.847306e-09
3.548134e+05 4.810363e+06 85.000000 2.901530e-09
4.466836e+05 4.810363e+06 85.000000 1.741054e-09
5.623413e+05 4.810363e+06 85.000000 1.047149e-09
7.079458e+05 4.810363e+06 85.000000 6.309259e-10
8.912509e+05 4.810363e+06 85.000000 3.805459e-10
1.122018e+06 4.810363e+06 85.000000 2.294713e-10
1.412538e+06 4.810363e+06 85.000000 1.382898e-10
1.778279e+06 4.810363e+06 85.000000 8.290266e-11
2.238721e+06 4.810363e+06 85.000000 4.936112e-11
2.818383e+06 4.810363e+06 85.000000 2.906330e-11
3.548134e+06 4.810363e+06 85.000000 1.686384e-11
4.466836e+06 4.810363e+06 85.000000 9.611910e-12
5.623413e+06 4.810363e+06 85.000000 5.345624e-12
7.079458e+06 4.810363e+06 85.000000 2.879205e-12
8.912509e+06 4.810363e+06 85.000000 1.492496e-12
1.122018e+03 4.215640e+06 85.000000 2.224180e-03
1.412538e+03 4.215640e+06 85.000000 1.415533e-03
1.778279e+03 4.215640e+06 85.000000 8.928578e-04
2.238721e+03 4.215640e+06 85.000000 5.585658e-04
2.818383e+03 4.215640e+06 85.000000 3.468120e-04
3.548134e+03 4.215640e+06 85.000000 2.138409e-04
4.466836e+03 4.215640e+06 85.000000 1.310046e-04
5.623413e+03 4.215640e+06 85.000000 7.978882e-05
7.079458e+03 4.215640e+06 85.000000 4.834449e-05
8.912509e+03 4.215640e+06 85.000000 2.915144e-05
1.122018e+04 4.215640e+06 85.000000 1.749909e-05
1.412538e+04 4.215640e+06 85.000000 1.046262e-05
1.778279e+04 4.215640e+06 85.000000 6.232815e-06
2.238721e+04 4.215640e+06 85.000000 3.701170e-06
2.818383e+04 4.215640e+06 85.000000 2.191214e-06
3.548134e+04 4.215640e+06 85.000000 1.293870e-06
4.466836e+04 4.215640e+06 85.000000 7.624061e-07
5.623413e+04 4.215640e+06 85.000000 4.484787e-07
7.079458e+04 4.215640e+06 85.000000 2.634509e-07
8.912509e+04 4.215640e+06 85.000000 1.546344e-07
1.122018e+05 4.215640e+06 85.000000 9.071721e-08
1.412538e+05 4.215640e+06 85.000000 5.322070e-08
1.778279e+05 4.215640e+06 85.000000 3.124120e-08
2.238721e+05 4.215640e+06 85.000000 1.835733e-08
2.818383e+05 4.215640e+06 85.000000 1.080368e-08
3.548134e+05 4.215640e+06 85.000000 6.368812e-09
4.466836e+05 4.215640e+06 85.000000 3.765021e-09
5.623413e+05 4.215640e+06 85.000000 2.232120e-09
7.079458e+05 4.215640e+06 85.000000 1.326319e-09
8.912509e+05 4.215640e+06 85.000000 7.892969e-10
1.122018e+06 4.215640e+06 85.000000 4.698453e-10
1.412538e+06 4.215640e+06 85.000000 2.796522e-10
1.778279e+06 4.215640e+06 85.000000 1.657011e-10
2.238721e+06 4.215640e+06 85.000000 9.758578e-11
2.818383e+06 4.215640e+06 85.000000 5.687788e-11
3.548134e+06 4.215640e+06 85.000000 3.269734e-11
4.466836e+06 4.215640e+06 85.000000 1.847724e-11
5.623413e+06 4.215640e+06 85.000000 1.019649e-11
7.079458e+06 4.215640e+06 85.000000 5.453933e-12
8.912509e+06 4.215640e+06 85.000000 2.809948e-12
1.122018e+03 3.646015e+06 85.000000 9.811538e-03
1.412538e+03 3.646015e+06 85.000000 6.037820e-03
1.778279e+03 3.646015e+06 85.000000 3.684441e-03
2.238721e+03 3.646015e+06 85.000000 2.231123e-03
2.818383e+03 3.646015e+06 85.000000 1.341488e-03
3.548134e+03 3.646015e+06 85.000000 8.013366e-04
4.466836e+03 3.646015e+06 85.000000 4.757758e-04
5.623413e+03 3.646015e+06 85.000000 2.809200e-04
7.079458e+03 3.646015e+06 85.000000 1.650443e-04
8.912509e+03 3.646015e+06 85.000000 9.652273e-05
1.122018e+04 3.646015e+06 85.000000 5.620490e-05
1.412538e+04 3.646015e+06 85.000000 3.260548e-05
1.778279e+04 3.646015e+06 85.000000 1.885155e-05
2.238721e+04 3.646015e+06 85.000000 1.086725e-05
2.818383e+04 3.646015e+06 85.000000 6.247165e-06
3.548134e+04 3.646015e+06 85.000000 3.582912e-06
4.466836e+04 3.646015e+06 85.000000 2.051139e-06
5.623413e+04 3.646015e+06 85.000000 1.172576e-06
7.079458e+04 3.646015e+06 85.000000 6.696626e-07
8.912509e+04 3.646015e+06 85.000000 3.822696e-07
1.122018e+05 3.646015e+06 85.000000 2.181893e-07
1.412538e+05 3.646015e+06 85.000000 1.245989e-07
1.778279e+05 3.646015e+06 85.000000 7.123095e-08
2.238721e+05 3.646015e+06 85.000000 4.078396e-08
2.818383e+05 3.646015e+06 85.000000 2.340024e-08
3.548134e+05 3.646015e+06 85.000000 1.345876e-08
4.466836e+05 3.646015e+06 85.000000 7.767734e-09
5.623413e+05 3.646015e+06 85.000000 4.500075e-09
7.079458e+05 3.646015e+06 85.000000 2.614954e-09
8.912509e+05 3.646015e+06 85.000000 1.522902e-09
1.122018e+06 3.646015e+06 85.000000 8.878128e-10
1.412538e+06 3.646015e+06 85.000000 5.178404e-10
1.778279e+06 3.646015e+06 85.000000 3.009889e-10
2.238721e+06 3.646015e+06 85.000000 1.740532e-10
2.818383e+06 3.646015e+06 85.000000 9.971798e-11
3.548134e+06 3.646015e+06 85.000000 5.641059e-11
4.466836e+06 3.646015e+06 85.000000 3.139981e-11
5.623413e+06 3.646015e+06 85.000000 1.708745e-11
