# Energy(GeV) Height(cm) Zenith(deg) Weights
4.466836e+03 4.810363e+06 85.000000 5.933837e-14
5.623413e+03 4.810363e+06 85.000000 2.663338e-14
7.079458e+03 4.810363e+06 85.000000 1.188231e-14
8.912509e+03 4.810363e+06 85.000000 5.278754e-15
1.122018e+04 4.810363e+06 85.000000 2.335030e-15
1.412538e+04 4.810363e+06 85.000000 1.029643e-15
1.778279e+04 4.810363e+06 85.000000 4.526774e-16
2.238721e+04 4.810363e+06 85.000000 1.983213e-16
2.818383e+04 4.810363e+06 85.000000 8.655783e-17
3.548134e+04 4.810363e+06 85.000000 3.762909e-17
4.466836e+04 4.810363e+06 85.000000 1.629318e-17
5.623413e+04 4.810363e+06 85.000000 7.022750e-18
7.079458e+04 4.810363e+06 85.000000 3.014347e-18
8.912509e+04 4.810363e+06 85.000000 1.287482e-18
1.122018e+05 4.810363e+06 85.000000 5.469798e-19
1.412538e+05 4.810363e+06 85.000000 2.307481e-19
1.778279e+05 4.810363e+06 85.000000 9.678605e-20
2.238721e+05 4.810363e+06 85.000000 4.035695e-20
2.818383e+05 4.810363e+06 85.000000 1.671992e-20
3.548134e+05 4.810363e+06 85.000000 6.886351e-21
4.466836e+05 4.810363e+06 85.000000 2.816536e-21
5.623413e+05 4.810363e+06 85.000000 1.145490e-21
7.079458e+05 4.810363e+06 85.000000 4.633528e-22
8.912509e+05 4.810363e+06 85.000000 1.870008e-22
1.122018e+06 4.810363e+06 85.000000 7.549174e-23
1.412538e+06 4.810363e+06 85.000000 3.060536e-23
1.778279e+06 4.810363e+06 85.000000 1.254289e-23
2.238721e+06 4.810363e+06 85.000000 5.221113e-24
2.818383e+06 4.810363e+06 85.000000 2.212632e-24
3.548134e+06 4.810363e+06 85.000000 9.574490e-25
4.466836e+06 4.810363e+06 85.000000 4.231720e-25
5.623413e+06 4.810363e+06 85.000000 1.909247e-25
7.079458e+06 4.810363e+06 85.000000 8.756556e-26
8.912509e+06 4.810363e+06 85.000000 4.085382e-26
1.122018e+03 4.215640e+06 85.000000 1.214108e-11
1.412538e+03 4.215640e+06 85.000000 5.803481e-12
1.778279e+03 4.215640e+06 85.000000 2.737056e-12
2.238721e+03 4.215640e+06 85.000000 1.274443e-12
2.818383e+03 4.215640e+06 85.000000 5.865069e-13
3.548134e+03 4.215640e+06 85.000000 2.672108e-13
